period,respondent,respondent-name,type-name,value,value-units
2024-05-08T07,SOCO,"Southern Company Services, Inc. - Trans",Demand,24188,megawatthours
2024-05-08T08,SOCO,"Southern Company Services, Inc. - Trans",Demand,23499,megawatthours
2024-05-08T09,SOCO,"Southern Company Services, Inc. - Trans",Demand,23270,megawatthours
2024-05-08T10,SOCO,"Southern Company Services, Inc. - Trans",Demand,23831,megawatthours
2024-05-08T11,SOCO,"Southern Company Services, Inc. - Trans",Demand,24863,megawatthours
2024-05-08T12,SOCO,"Southern Company Services, Inc. - Trans",Demand,25788,megawatthours
2024-05-08T13,SOCO,"Southern Company Services, Inc. - Trans",Demand,26617,megawatthours
2024-05-08T14,SOCO,"Southern Company Services, Inc. - Trans",Demand,27768,megawatthours
2024-05-08T15,SOCO,"Southern Company Services, Inc. - Trans",Demand,29213,megawatthours
2024-05-08T16,SOCO,"Southern Company Services, Inc. - Trans",Demand,30209,megawatthours
2024-05-08T17,SOCO,"Southern Company Services, Inc. - Trans",Demand,31422,megawatthours
2024-05-08T18,SOCO,"Southern Company Services, Inc. - Trans",Demand,32669,megawatthours
2024-05-08T19,SOCO,"Southern Company Services, Inc. - Trans",Demand,33990,megawatthours
2024-05-08T20,SOCO,"Southern Company Services, Inc. - Trans",Demand,35347,megawatthours
2024-05-08T21,SOCO,"Southern Company Services, Inc. - Trans",Demand,36337,megawatthours
2024-05-08T22,SOCO,"Southern Company Services, Inc. - Trans",Demand,36872,megawatthours
2024-05-08T23,SOCO,"Southern Company Services, Inc. - Trans",Demand,36564,megawatthours
2024-05-09T00,SOCO,"Southern Company Services, Inc. - Trans",Demand,35422,megawatthours
2024-05-09T01,SOCO,"Southern Company Services, Inc. - Trans",Demand,34523,megawatthours
2024-05-09T02,SOCO,"Southern Company Services, Inc. - Trans",Demand,33433,megawatthours
2024-05-09T03,SOCO,"Southern Company Services, Inc. - Trans",Demand,31160,megawatthours
2024-05-09T04,SOCO,"Southern Company Services, Inc. - Trans",Demand,29025,megawatthours
2024-05-09T05,SOCO,"Southern Company Services, Inc. - Trans",Demand,27256,megawatthours
2024-05-09T06,SOCO,"Southern Company Services, Inc. - Trans",Demand,26128,megawatthours
2024-05-09T07,SOCO,"Southern Company Services, Inc. - Trans",Demand,25194,megawatthours
2024-05-09T08,SOCO,"Southern Company Services, Inc. - Trans",Demand,24525,megawatthours
2024-05-09T09,SOCO,"Southern Company Services, Inc. - Trans",Demand,24421,megawatthours
2024-05-09T10,SOCO,"Southern Company Services, Inc. - Trans",Demand,24913,megawatthours
2024-05-09T11,SOCO,"Southern Company Services, Inc. - Trans",Demand,25866,megawatthours
2024-05-09T12,SOCO,"Southern Company Services, Inc. - Trans",Demand,26273,megawatthours
2024-05-09T13,SOCO,"Southern Company Services, Inc. - Trans",Demand,26847,megawatthours
2024-05-09T14,SOCO,"Southern Company Services, Inc. - Trans",Demand,27363,megawatthours
2024-05-09T15,SOCO,"Southern Company Services, Inc. - Trans",Demand,28104,megawatthours
2024-05-09T16,SOCO,"Southern Company Services, Inc. - Trans",Demand,28413,megawatthours
2024-05-09T17,SOCO,"Southern Company Services, Inc. - Trans",Demand,28810,megawatthours
2024-05-09T18,SOCO,"Southern Company Services, Inc. - Trans",Demand,29324,megawatthours
2024-05-09T19,SOCO,"Southern Company Services, Inc. - Trans",Demand,29748,megawatthours
2024-05-09T20,SOCO,"Southern Company Services, Inc. - Trans",Demand,30007,megawatthours
2024-05-09T21,SOCO,"Southern Company Services, Inc. - Trans",Demand,30319,megawatthours
2024-05-09T22,SOCO,"Southern Company Services, Inc. - Trans",Demand,30709,megawatthours
2024-05-09T23,SOCO,"Southern Company Services, Inc. - Trans",Demand,30651,megawatthours
2024-05-10T00,SOCO,"Southern Company Services, Inc. - Trans",Demand,30146,megawatthours
2024-05-10T01,SOCO,"Southern Company Services, Inc. - Trans",Demand,29709,megawatthours
2024-05-10T02,SOCO,"Southern Company Services, Inc. - Trans",Demand,28858,megawatthours
2024-05-10T03,SOCO,"Southern Company Services, Inc. - Trans",Demand,27073,megawatthours
2024-05-10T04,SOCO,"Southern Company Services, Inc. - Trans",Demand,25183,megawatthours
2024-05-10T05,SOCO,"Southern Company Services, Inc. - Trans",Demand,23796,megawatthours
2024-05-10T06,SOCO,"Southern Company Services, Inc. - Trans",Demand,22886,megawatthours
2024-05-10T07,SOCO,"Southern Company Services, Inc. - Trans",Demand,22216,megawatthours
2024-05-10T08,SOCO,"Southern Company Services, Inc. - Trans",Demand,21707,megawatthours
2024-05-10T09,SOCO,"Southern Company Services, Inc. - Trans",Demand,21419,megawatthours
2024-05-10T10,SOCO,"Southern Company Services, Inc. - Trans",Demand,21709,megawatthours
2024-05-10T11,SOCO,"Southern Company Services, Inc. - Trans",Demand,22550,megawatthours
2024-05-10T12,SOCO,"Southern Company Services, Inc. - Trans",Demand,23248,megawatthours
2024-05-10T13,SOCO,"Southern Company Services, Inc. - Trans",Demand,23994,megawatthours
2024-05-10T14,SOCO,"Southern Company Services, Inc. - Trans",Demand,24714,megawatthours
2024-05-10T15,SOCO,"Southern Company Services, Inc. - Trans",Demand,25519,megawatthours
2024-05-10T16,SOCO,"Southern Company Services, Inc. - Trans",Demand,26456,megawatthours
2024-05-10T17,SOCO,"Southern Company Services, Inc. - Trans",Demand,27530,megawatthours
2024-05-10T18,SOCO,"Southern Company Services, Inc. - Trans",Demand,28647,megawatthours
2024-05-10T19,SOCO,"Southern Company Services, Inc. - Trans",Demand,29728,megawatthours
2024-05-10T20,SOCO,"Southern Company Services, Inc. - Trans",Demand,30554,megawatthours
2024-05-10T21,SOCO,"Southern Company Services, Inc. - Trans",Demand,31139,megawatthours
2024-05-10T22,SOCO,"Southern Company Services, Inc. - Trans",Demand,31172,megawatthours
2024-05-10T23,SOCO,"Southern Company Services, Inc. - Trans",Demand,30387,megawatthours
